TaskID,Duration,Priority,Initial_VM
0,8,3,0
1,5,1,1
2,10,3,2
3,8,4,3
4,8,5,4
5,8,3,0
6,7,5,2
7,1,3,3
8,2,3,4
9,5,1,1
10,5,1,0
11,1,2,2
12,4,2,3
13,1,1,4
14,4,5,1
15,2,2,0
16,3,2,2
17,7,4,3
18,9,5,4
19,1,5,0
20,2,4,2
21,7,3,3
22,10,2,1
23,10,2,4
24,7,2,0
25,7,4,2
26,9,3,3
27,4,2,4
28,9,1,1
29,7,1,0
30,7,4,2
31,9,4,3
32,10,2,4
33,9,1,0
34,9,2,2
35,6,3,3
36,4,4,1
37,10,1,4
38,9,5,0
39,4,1,2
40,6,5,3
41,7,2,1
42,3,2,4
43,9,3,0
44,7,3,2
45,8,2,3
46,9,2,0
47,6,2,1
48,7,2,2
49,8,2,3
50,5,4,4
51,10,5,0
52,3,3,2
53,9,1,3
54,4,2,4
55,1,2,1
56,3,1,0
57,2,4,2
58,6,4,3
59,4,5,4
60,9,2,1
61,2,5,0
62,10,3,2
63,5,5,3
64,10,1,4
65,3,3,0
66,7,4,2
67,6,1,3
68,5,5,1
69,7,3,4
70,6,3,0
71,3,3,2
72,8,3,3
73,1,4,4
74,8,1,1
75,9,1,0
76,5,1,2
77,1,4,3
78,10,3,4
79,7,1,0
80,7,1,2
81,3,1,3
82,7,2,1
83,8,3,4
84,8,2,0
85,3,1,2
86,5,3,3
87,6,1,1
88,2,5,4
89,7,3,0
