No. of tasks,Method,Execution Time (ms),Task Migration Time (ms),Delayed Tasks,Instructions Re-executed
10,IWRR,50,0.0,0,0
20,IWRR,50,0.0,0,0
30,IWRR,50,0.0,0,0
40,IWRR,50,0.0,0,0
50,IWRR,50,0.0,0,0
60,IWRR,50,0.0,0,0
70,IWRR,50,0.0,0,0
80,IWRR,50,0.0,0,0
90,IWRR,50,0.0,0,0
100,IWRR,50,0.0,0,0
10,WRR,50,0.0,0,0
20,WRR,50,0.0,0,0
30,WRR,50,0.0,0,0
40,WRR,50,0.0,0,0
50,WRR,50,0.0,0,0
60,WRR,50,0.0,0,0
70,WRR,50,0.0,0,0
80,WRR,50,0.0,0,0
90,WRR,50,0.0,0,0
100,WRR,50,0.0,0,0
10,RR,50,0.0,0,0
20,RR,50,0.0,0,0
30,RR,50,0.0,0,0
40,RR,50,0.0,0,0
50,RR,50,0.0,0,0
60,RR,50,0.0,0,0
70,RR,50,0.0,0,0
80,RR,50,0.0,0,0
90,RR,50,0.0,0,0
100,RR,50,0.0,0,0
